file,item,family,tier,split,variant,score,detected
item_00000_cctv_T1_train_A.png,00000,cctv,T1,train,A,0.9054290056228638,True
item_00001_cctv_T1_train_B.png,00001,cctv,T1,train,B,0.8816097974777222,True
item_00002_cctv_T1_train_C.png,00002,cctv,T1,train,C,0.9339874386787416,True
item_00003_cctv_T1_train_A.png,00003,cctv,T1,train,A,0.8050866723060608,True
item_00004_cctv_T1_train_B.png,00004,cctv,T1,train,B,0.1640472114086151,False
item_00005_cctv_T1_train_C.png,00005,cctv,T1,train,C,0.8589869737625122,True
item_00006_cctv_T1_train_A.png,00006,cctv,T1,train,A,0.704762876033783,True
item_00007_cctv_T1_train_B.png,00007,cctv,T1,train,B,0.1381472200155258,False
item_00008_cctv_T1_train_C.png,00008,cctv,T1,train,C,0.859438955783844,True
item_00009_cctv_T1_train_A.png,00009,cctv,T1,train,A,0.2056339681148529,False
item_00010_cctv_T1_train_B.png,00010,cctv,T1,train,B,0.8428848385810852,True
item_00011_cctv_T1_train_C.png,00011,cctv,T1,train,C,0.7962979674339294,True
item_00012_cctv_T1_train_A.png,00012,cctv,T1,train,A,0.7209988236427307,True
item_00013_cctv_T1_train_B.png,00013,cctv,T1,train,B,0.2189569175243377,False
item_00014_cctv_T1_train_C.png,00014,cctv,T1,train,C,0.9378131031990052,True
item_00015_cctv_T1_train_A.png,00015,cctv,T1,train,A,0.9339582920074464,True
item_00016_cctv_T1_train_B.png,00016,cctv,T1,train,B,0.9159783124923706,True
item_00017_cctv_T1_train_C.png,00017,cctv,T1,train,C,0.8580780625343323,True
item_00018_cctv_T1_train_A.png,00018,cctv,T1,train,A,0.8778876662254333,True
item_00019_cctv_T1_train_B.png,00019,cctv,T1,train,B,0.8196132779121399,True
item_00020_cctv_T1_train_C.png,00020,cctv,T1,train,C,0.9209895730018616,True
item_00021_cctv_T1_train_A.png,00021,cctv,T1,train,A,0.6682004928588867,True
item_00022_cctv_T1_train_B.png,00022,cctv,T1,train,B,0.8643252849578857,True
item_00023_cctv_T1_train_C.png,00023,cctv,T1,train,C,0.6531901955604553,True
item_00024_cctv_T1_train_A.png,00024,cctv,T1,train,A,0.8631123304367065,True
item_00025_cctv_T1_train_B.png,00025,cctv,T1,train,B,0.6208338737487793,True
item_00026_cctv_T1_train_C.png,00026,cctv,T1,train,C,0.9514498710632324,True
item_00027_cctv_T1_train_A.png,00027,cctv,T1,train,A,0.5276060104370117,True
item_00028_cctv_T1_train_B.png,00028,cctv,T1,train,B,0.0695547312498092,False
item_00029_cctv_T1_train_C.png,00029,cctv,T1,train,C,0.3063604235649109,False
item_00030_cctv_T1_train_A.png,00030,cctv,T1,train,A,0.8986860513687134,True
item_00031_cctv_T1_train_B.png,00031,cctv,T1,train,B,0.0329006798565387,False
item_00032_cctv_T1_train_C.png,00032,cctv,T1,train,C,0.9224939346313475,True
item_00033_cctv_T1_train_A.png,00033,cctv,T1,train,A,0.8986765146255493,True
item_00034_cctv_T1_train_B.png,00034,cctv,T1,train,B,0.1779392957687378,False
item_00035_cctv_T1_train_C.png,00035,cctv,T1,train,C,0.9166860580444336,True
item_00036_cctv_T1_train_A.png,00036,cctv,T1,train,A,0.8924497365951538,True
item_00037_cctv_T1_train_B.png,00037,cctv,T1,train,B,0.8375217914581299,True
item_00038_cctv_T1_train_C.png,00038,cctv,T1,train,C,0.8559078574180603,True
item_00039_cctv_T1_train_A.png,00039,cctv,T1,train,A,0.8958244919776917,True
item_00040_cctv_T1_train_B.png,00040,cctv,T1,train,B,0.8644647002220154,True
item_00041_cctv_T1_train_C.png,00041,cctv,T1,train,C,0.909466028213501,True
item_00042_cctv_T1_train_A.png,00042,cctv,T1,train,A,0.9008411169052124,True
item_00043_cctv_T1_train_B.png,00043,cctv,T1,train,B,0.254054844379425,False
item_00044_cctv_T1_train_C.png,00044,cctv,T1,train,C,0.9292150735855104,True
item_00045_cctv_T1_train_A.png,00045,cctv,T1,train,A,0.5020522475242615,True
item_00046_cctv_T1_train_B.png,00046,cctv,T1,train,B,0.9248705506324768,True
item_00047_cctv_T1_train_C.png,00047,cctv,T1,train,C,0.8917550444602966,True
item_00048_cctv_T1_train_A.png,00048,cctv,T1,train,A,0.8986068367958069,True
item_00049_cctv_T1_train_B.png,00049,cctv,T1,train,B,0.0765055269002914,False
item_00050_cctv_T1_train_C.png,00050,cctv,T1,train,C,0.9071887135505676,True
item_00051_cctv_T1_train_A.png,00051,cctv,T1,train,A,0.6352325677871704,True
item_00052_cctv_T1_train_B.png,00052,cctv,T1,train,B,0.8475815653800964,True
item_00053_cctv_T1_train_C.png,00053,cctv,T1,train,C,0.8762173652648926,True
item_00054_cctv_T1_train_A.png,00054,cctv,T1,train,A,0.8811567425727844,True
item_00055_cctv_T1_train_B.png,00055,cctv,T1,train,B,0.9193896055221558,True
item_00056_cctv_T1_train_C.png,00056,cctv,T1,train,C,0.9136729836463928,True
